id,source,seed,episodeIndex,success,abortReason,numSteps,meanAbsCorrection,maxAbsCorrection
sft_64230000_0,sft,64230000,0,True,,14,0.02676021826586553,0.08656224887818098
sft_64230001_1,sft,64230001,1,True,,13,0.013692999473558022,0.05150488205254078
sft_64230002_2,sft,64230002,2,True,,22,0.020602003099735488,0.09162493981420994
sft_64230003_3,sft,64230003,3,False,,23,0.019430475977613874,0.04826831445097923
sft_64240000_0,sft,64240000,0,True,,13,0.01935879997192667,0.056423936039209366
sft_64240001_1,sft,64240001,1,True,,23,0.02685406631992563,0.09919221885502338
sft_64240002_2,sft,64240002,2,False,,23,0.0216691258120472,0.04669069033116102
sft_64240003_3,sft,64240003,3,True,,22,0.03477822239934043,0.1119227334856987
sft_64250000_0,sft,64250000,0,False,,23,0.02642043378285092,0.09560523182153702
sft_64250001_1,sft,64250001,1,True,,23,0.022140423119392082,0.07340754754841328
sft_64250002_2,sft,64250002,2,True,,12,0.018338201567530632,0.06166857294738293
